	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
tRNA	1199531.00000005	749768.000000024	1022247.00000004	647107.000000001	812618.000000026	1104079.00000004	1763698.00000005	515722.99999999	922795.000000026	689276.000000022
protein_coding	490472.036255047	411141.253406753	265551.012697196	387853.796290884	289580.215720404	499676.892991287	199884.478876384	1128298.77364742	942234.811319657	729301.179242393
miRNA	336287.62691031	308088.780469704	248715.701203759	316112.945053819	236626.059232029	309524.673544047	299812.806234641	394104.134428246	554799.999793295	496360.066996191
snRNA	373267.983139792	197777.870017295	168383.564994307	163687.222157715	309750.232285148	237293.122558233	145002.897847334	612937.308358873	468613.297872529	359437.522856349
retained_intron	141464.68747466	70557.4918897386	61933.1453271495	76680.2850297128	71406.2923242351	86555.5274117149	38113.994999462	256110.557813674	187456.999895438	168005.049415211
snoRNA	147982.326038334	53736.188997114	58932.7413965574	64206.1807798482	71680.1729791706	66999.0723304473	32146.6222222222	243245.249801864	178073.91010101	159144.116197691
misc_RNA	38582.6449198776	28197.5738469563	20529.3022319786	29707.0440073815	25947.2504808558	35705.6971275058	29255.7943602149	54982.3147185401	58340.7565808921	51533.1821896515
piRNA	47684	21478	24393	25872	26968	23760	27888	41025	55636	41041
Mt_tRNA	29877.5	9932.5	25770	28119.5	17332	28012	40402.5	24848.5	27092.3333333333	9514.5
processed_transcript	31474.2768167795	23979.4027597958	15897.3477254662	22436.2736147166	17590.6038011705	27984.6211020339	11680.2358468823	71369.2214724795	56540.7044874393	46316.979668608
Mt_rRNA	33593.1111111111	14031.25	21560.25	18461.25	14567.5	20503	30709	40025.25	37636.75	18526.4166666667
nonsense_mediated_decay	22884.1230542422	18672.3833142375	12021.067656824	17144.649773429	13044.9496181222	21890.2999327959	8883.87399385148	52534.4362714828	42340.352652043	34145.6004956953
processed_pseudogene	18868.4649858448	14368.1308286723	9174.34796412012	13202.8801105474	10472.3290388947	16072.8674968442	7688.00014593738	40974.5773186095	33186.7292202984	27328.4090467019
TEC	8778.43773927475	10458.610888055	6474.49457323198	10240.8651788065	6621.40835894918	13424.4555765735	5159.76959892955	22789.6477161166	19654.7725149877	14144.232073189
lincRNA	10380.8705004202	8212.07920918707	8141.21956586066	8723.79781778423	8303.64818361553	11999.0067326933	7955.65998634529	23800.6088265442	17810.0986960722	12081.0682426373
ribozyme	4691.71666666667	3118.88888888889	2086.33333333333	2390.8	2832.33333333333	2996.66666666667	2516.5	5795.53333333333	6786.8	4519.08333333333
antisense	2666.457400411	1699.64646407499	1607.08658185398	1836.38929231627	1911.77729084871	2412.49336697384	1396.51338834076	6216.07603936616	3910.32137790957	3302.802147209
scaRNA	1709.1	1278.33333333333	1137.33333333333	1245.66666666667	1101.33333333333	1431.16666666667	941.333333333333	3028.83333333333	2756.33333333333	2125.16666666667
transcribed_processed_pseudogene	896.746229983884	675.202848615459	428.239631429012	610.939002191291	506.531044162108	760.783593431025	365.210570626071	1947.9778877307	1581.6006780338	1323.76557402179
unprocessed_pseudogene	947.412618651969	534.68037772686	575.918980698284	753.468864597329	429.707292223369	650.056750462951	615.823960305495	1914.92205431787	1443.46147378006	1047.85764960961
pseudogene	699.825959921239	511.581381506731	353.212935965925	460.390478858501	405.742231178257	603.555419661428	293.431950494101	1436.12001161612	1211.64041915244	977.735341270483
rRNA	415.543311597764	209.09647660819	439.342965357811	300.833860839423	382.828196894947	522.967678298189	632.838057472752	312.813110585683	292.501613237606	242.897003631935
sense_intronic	180.662086997251	162.349152421179	140.422253351399	149.417818739568	116.666367609161	159.314691179444	89.6510453319786	602.435321059501	377.620782726374	299.008534992679
transcribed_unprocessed_pseudogene	69.8706085967696	54.5380959683591	37.4669325843239	52.2851702508435	38.4905995655996	70.3773983601538	34.1350784048046	143.552655817143	109.237056013468	88.927613766952
IG_V_gene	122.467027417027	250.223679089737	31.5296717171717	47.2972222222222	34.0945969997457	27.6900932400932	33.1333333333333	827.486918036295	74.2442307692308	78.0993992822593
IG_C_gene	151.666666666667	234.166666666667	35.1666666666667	61.9166666666667	36	26	40.0909090909091	881.090909090909	51.9166666666667	70.8333333333333
translated_processed_pseudogene	35.5628644115807	30.5392762393985	21.2154174617062	26.9910222975936	20.353100935918	32.2978673017901	18.2089831719716	85.2028179077565	77.9095756034995	61.502076648441
circularRNA	35	21	36	39	29	41	29	28	29	28
bidirectional_promoter_lncRNA	19.7050116550117	16.0859649122807	11.5863354037267	17.8928571428571	15.4	22.9285714285714	11	62.4804695304695	41.6583333333333	40.16966873706
non_stop_decay	17.8849206349206	17.5750360750361	13.0690476190476	16.9584415584416	13.4043650793651	15.3539682539683	10.4880952380952	38.5572510822511	40.9877344877345	31.0063492063492
sense_overlapping	16.3970140970141	10.2922008547009	5.39005439005439	9.54861111111111	7.0684915359838	17.9366155902921	5.12570762570763	37.411815961816	17.099299719888	14.7242354867355
polymorphic_pseudogene	7.04461462450593	7.60593524832655	4.73484057365636	7.545559111837	3.62037037037037	10.6979242622701	3.86480836236934	19.2325249473826	14.102967253711	13.1512551443306
unitary_pseudogene	4.28333333333333	5.27777777777778	6.36868686868687	9.08333333333333	4.75	8.25	2.25	7.15	6.02738095238095	7.89285714285714
transcribed_unitary_pseudogene	3.33333333333333	2.33333333333333	19	3.1	11.3333333333333	3.83333333333333	3.5	6.16666666666667	11.0833333333333	3.37037037037037
TR_C_gene	3	4	3	4	1	3	1	10.25	8.11111111111111	4.02439024390244
IG_V_pseudogene	7.75519480519481	10.1230387278244	0.470328282828283	2.70277777777778	1.37069666920926	5.00687645687646	1.86666666666667	27.9078188058102	2.60192307692308	3.86213917927914
IG_J_gene	5	7	1.5	0	1	1	0.5	23.5	2.5	1.5
TR_V_gene	2	1	0	1.97142857142857	0	0	0.4	6	0	2.5
translated_unprocessed_pseudogene	0.642857142857143	0.777777777777778	0.0833333333333333	0	0.533333333333333	0.785714285714286	0.5	2.0520202020202	0.724242424242424	2.20606060606061
macro_lncRNA	0.5	0.5	0	0	0	0.5	0	0	3	0.5
scRNA	0	0	0.333333333333333	1.11111111111111	0	1.1	1	1	0	0.0909090909090909
3prime_overlapping_ncRNA	0	0	0	0	0	0	0	1	0	0
IG_LV_gene	0.333333333333333	0.666666666666667	0	0	0	0	0	0.333333333333333	0	0
sRNA	0	0	0	1	0	0	0	0	0	0
TR_J_gene	0	0	0	0	0	1	1	0	0	1
TR_V_pseudogene	0	0	0	0	0	0	0	0.333333333333333	0	0
exogenous_miRNA	0	0	0	0	0	0	0	0	0	0
exogenous_rRNA	0	0	0	0	0	0	0	0	0	0
exogenous_genomes	0	0	0	0	0	0	0	0	0	0
