	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mm9_circ_010964	18	14	29	25	18	31	25	6	13	14
mm9_circ_013120	12	4	3	5	7	4	0	15	10	13
mm9_circ_011174	2	1	1	2	1	1	0	0	1	0
mm9_circ_009900	1	0	0	0	0	0	0	0	0	0
mm9_circ_009604	1	0	0	0	0	0	0	0	0	0
mm9_circ_016410	1	0	0	0	0	0	0	0	0	0
mm9_circ_006216	0	1	0	0	0	0	0	0	0	0
mm9_circ_003008	0	1	0	0	0	0	0	0	0	0
mm9_circ_014192	0	0	1	0	0	0	0	0	0	0
mm9_circ_018654	0	0	1	3	0	2	2	0	2	0
mm9_circ_017246	0	0	1	0	0	0	0	1	0	0
mm9_circ_014912	0	0	0	1	0	0	0	0	0	0
mm9_circ_006032	0	0	0	1	0	0	0	0	0	0
mm9_circ_018538	0	0	0	1	0	0	0	0	0	0
mm9_circ_004976	0	0	0	1	0	1	0	1	0	0
mm9_circ_010639	0	0	0	0	1	0	0	0	0	0
mm9_circ_004670	0	0	0	0	1	0	0	0	0	0
mm9_circ_000398	0	0	0	0	1	0	0	0	0	0
mm9_circ_010404	0	0	0	0	0	2	0	0	0	0
mm9_circ_008117	0	0	0	0	0	0	1	0	0	1
mm9_circ_012199	0	0	0	0	0	0	1	0	0	0
mm9_circ_017140	0	0	0	0	0	0	0	1	0	0
mm9_circ_006404	0	0	0	0	0	0	0	1	0	0
mm9_circ_001878	0	0	0	0	0	0	0	1	0	0
mm9_circ_003057	0	0	0	0	0	0	0	1	0	0
mm9_circ_012296	0	0	0	0	0	0	0	1	0	0
mm9_circ_016182	0	0	0	0	0	0	0	0	1	0
mm9_circ_001801	0	0	0	0	0	0	0	0	1	0
mm9_circ_007087	0	0	0	0	0	0	0	0	1	0
