	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126
MS28F1_sample2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98098	96687	79454	112724	62928	55153	37770	21351	18114	22086	19748	14534	16414	8044	2286	1645	1590	955	626	407	296	350	171	129	140	70	92	76	56	80	63	73	43	43	56	37	30	29	33	33	39	20	20	21	21	53	35	13	22	31	27	19	14	10	11	7	11	12	15	4	6	5	1	5	6	7	3	6	2	18	17	21	21	42	83	81	50	53	59	56	49	21	19	18	19	18	11	10	7	6	6	3	5	7	0	4	8	4	2	4	4	9	0	0	0	0	0	0	250
MS28F1_sample3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194378	184959	142100	189018	118012	110266	67422	40127	33933	39118	35261	36034	41154	21320	6990	6201	6655	2937	1926	1067	730	954	449	480	351	238	219	154	111	138	128	114	94	84	85	51	57	92	49	71	81	42	51	52	47	51	40	18	23	41	50	25	26	13	16	20	29	17	25	8	7	11	11	9	11	12	9	10	9	19	36	29	47	70	143	129	96	93	93	78	44	30	37	35	20	37	18	30	20	16	17	10	8	8	3	9	13	5	1	14	29	11	0	0	0	0	0	0	232
MS28F1_sample4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273948	277272	187122	229224	119172	107517	66504	33167	28313	37850	30684	16577	21877	10020	3575	3881	7941	7164	5879	2352	2690	5970	2375	9147	4022	2333	1552	1357	992	1192	1188	1500	1037	838	697	1013	1547	740	1058	1113	958	1879	1212	2004	2034	1500	820	929	1389	1061	781	479	703	2137	3153	1645	738	1874	1597	436	510	433	788	767	456	427	476	560	423	382	274	382	306	257	399	292	233	256	371	176	140	145	97	119	115	136	67	87	111	71	95	85	63	123	114	87	106	98	121	140	169	163	0	0	0	0	0	0	5498
MS28F1_sample5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186445	225427	150844	179819	98502	90523	41964	27245	22039	25577	16378	13185	13197	5933	1706	1531	1683	1041	642	392	351	433	197	315	232	135	127	108	98	83	66	99	51	58	79	53	57	50	42	68	57	52	37	55	41	58	53	28	46	34	49	30	30	39	40	23	25	25	28	19	17	8	13	11	11	7	17	9	22	28	36	53	71	89	172	186	148	110	127	105	61	40	20	29	18	37	13	14	8	7	7	8	2	9	7	7	4	5	4	4	6	5	0	0	0	0	0	0	263
MS28F1_sample6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325320	345027	247370	315177	181887	160148	97479	65207	55574	61995	53936	37041	37361	17376	6215	5124	5195	3974	2946	1814	1425	1830	1054	2192	1367	773	585	535	375	478	395	510	383	364	310	305	387	257	332	365	368	722	390	552	536	475	329	251	411	353	279	222	215	410	699	394	214	425	386	122	117	97	151	168	129	105	112	142	96	119	128	154	167	192	355	343	310	265	274	227	147	98	66	62	77	85	50	45	56	48	59	43	40	55	28	44	55	40	33	28	74	70	0	0	0	0	0	0	1870
MS28F1_sample7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143993	158778	109930	146432	87136	80487	49424	35600	32176	38699	40248	32990	38622	18347	4932	3972	4293	2053	1235	680	655	709	310	315	226	116	152	101	64	92	60	77	57	62	54	47	47	38	42	45	44	60	46	45	29	44	37	29	37	20	34	40	18	26	23	16	19	18	12	10	12	9	10	11	14	8	7	12	12	14	16	34	27	47	92	77	96	58	61	58	48	27	23	16	23	30	12	15	9	10	13	4	2	6	1	4	4	2	2	3	4	7	0	0	0	0	0	0	219
MS28F1_sample8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160776	157622	114662	134086	70998	58051	32512	19068	15685	19983	14240	13835	17226	8778	2542	2366	3395	2293	1988	927	920	1732	780	1677	1366	821	609	535	372	454	444	549	415	363	266	349	413	297	383	405	405	731	475	879	737	612	339	376	495	442	305	259	271	717	1065	573	315	599	544	168	174	147	225	205	217	192	201	191	135	168	133	149	151	141	212	152	106	163	254	113	88	81	50	73	69	77	70	56	73	49	53	47	50	58	40	42	65	57	43	29	56	81	0	0	0	0	0	0	3620
MS28F1_sample9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239736	255638	225917	296995	187916	149513	103667	71825	63951	71093	59898	45405	41651	23536	9130	7296	6303	4045	2903	1952	1465	1928	978	1940	1503	670	563	439	367	354	381	374	286	274	197	241	215	175	196	224	242	493	225	282	227	214	153	138	266	206	149	114	114	204	219	143	107	125	130	59	59	45	76	74	62	50	56	52	45	57	50	74	81	100	184	168	154	100	121	112	57	72	39	57	31	45	34	32	27	15	14	20	11	17	13	12	15	12	13	8	21	30	0	0	0	0	0	0	832
MS28F1_sample11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309338	303322	284301	435310	236673	195549	161283	75214	59401	71544	62850	45862	51881	29502	9263	8532	10097	8625	7716	4155	3459	6283	4159	14741	9176	4321	2599	1991	1437	1421	1559	1677	1240	1113	702	784	847	720	820	832	889	2069	1020	1400	1339	1156	719	858	1536	844	551	372	499	1045	1448	1223	416	826	765	237	242	237	427	449	306	226	275	282	196	238	225	272	248	194	342	239	202	233	285	205	153	100	84	77	60	71	56	60	67	44	45	45	43	45	46	49	52	52	46	35	86	89	0	0	0	0	0	0	2317
MS28F1_sample14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249868	273651	241166	343302	198022	163604	102015	64181	56249	60174	49175	44222	46127	24277	6973	5890	5279	3374	2265	1297	1069	1433	650	1324	807	357	363	288	225	241	206	277	165	159	148	130	143	127	131	144	137	221	120	139	97	132	108	81	132	82	74	57	62	113	92	79	56	64	81	30	31	29	41	41	31	24	30	24	26	35	46	76	95	113	275	199	212	155	213	175	112	79	51	41	49	53	34	27	34	18	13	17	14	12	10	11	15	15	3	16	16	12	0	0	0	0	0	0	603
