	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mt-Rnr2:Mt_rRNA	1950.75	1560.08333333333	2155	1981.25	2051.91666666667	942	1146.5	6021.5	5337	3447.83333333333
Rny1:misc_RNA	1754.31666666667	2581.31666666667	1121.28333333333	1479.6	3853.65	1474.38333333333	1051.05	6886.26666666667	7342.11666666667	8148.78333333333
Gm24372:misc_RNA	656.533333333334	773.066666666667	421.116666666667	561.85	1389.48333333333	482.383333333333	359.716666666667	1933.26666666667	2226.61666666667	2511.78333333333
mt-Rnr1:Mt_rRNA	420	348	653.5	474.333333333333	682.5	336	398	1181	1204	757
Rny3:misc_RNA	399.142857142857	530	449.142857142857	557.267857142857	942	491.642857142857	341	1424.92857142857	1589.07142857143	1507.28571428571
Akr1b7:protein_coding	359.204166666667	1578.45681818182	1329.89994588745	1427.78979076479	1286.83257575758	1559.5086038961	630.975432900433	2348.73225108225	3751.72395382395	1367.79967532468
Gm43305:TEC	347.266666666667	1069.48333333333	657.359523809524	789.37619047619	920.226923076923	722.79358974359	327.083333333333	1967.66666666667	2128.68333333333	1589.59090909091
Gm23849:snRNA	293.24971730164	278.471519258636	314.22474510024	185.724276115257	457.897807412956	315.529031692113	172.823174048174	1226.40539306695	614.649564017608	427.451231481412
Gm23971:snRNA	293.24971730164	278.471519258636	314.22474510024	185.724276115257	457.897807412956	315.529031692113	172.823174048174	1226.40539306695	614.649564017608	427.451231481412
Gm24950:snRNA	293.24971730164	278.471519258636	314.22474510024	185.724276115257	457.897807412956	315.529031692113	172.823174048174	1226.40539306695	614.649564017608	427.451231481412
Rnu2-10:snRNA	293.24971730164	278.471519258636	314.22474510024	185.724276115257	457.897807412956	315.529031692113	172.823174048174	1226.40539306695	614.649564017608	427.451231481412
Gm25813:snRNA	291.086080938003	276.553589965707	306.979362704858	184.884882175864	449.81018115033	312.669435732517	170.020396270396	1206.35177446333	596.233222026266	421.508243913425
Gm25202:snRNA	279.12773796252	266.753673621064	297.252269380759	178.824192122171	432.784804295947	303.811840454232	167.666666666667	1116.22910788042	558.086439888614	400.586999988317
Gm26316:snRNA	276.376990028912	255.398791985909	277.713706139201	164.887912478894	429.779625594774	305.533577146659	157.804992229992	1188.55539306695	546.667529385574	377.479261784442
Snord83b:snoRNA	269	240	349	112	418.666666666667	134	111.666666666667	377	796.333333333333	415
mt-Th:Mt_tRNA	260.5	93	489	101.5	472	201	267	432	666.666666666667	179
Crisp1:protein_coding	209.333333333333	387.166666666667	370.333333333333	332.416666666667	485.166666666667	333.333333333333	145.166666666667	987.783333333334	1177.36666666667	862.75
Snord55:snoRNA	198	150	301	76	228	84	76	454	503	294
Vaultrc5:misc_RNA	190	632.5	236	653.5	702	536.5	334.5	825	777.666666666667	1246
Gm42418:lincRNA	174.5	343.5	575.125	300.375	644.083333333333	293.833333333333	355.958333333333	493.166666666667	418.166666666667	488.625
