	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-148a-3p	71568.6361894236	62359.4117723543	91681.6688952135	94698.4311173025	82854.3541915194	83681.6514544059	88954.7723246426	52222.7518066702	50900.3545388077	53854.1078287855
mmu-miR-143-3p	58118.5991995936	55395.3373467344	56874.0086701676	63621.1827143114	103597.206514461	58399.3333289588	53834.7665002953	53342.0356939918	59089.4475625324	95788.8349673609
mmu-miR-10a-5p	55264.143039227	51359.3987699749	41759.7302835857	49366.6449707105	40518.2786703229	33057.9596978983	55760.0368875335	41630.3471927015	48350.3492859879	51009.5761313583
mmu-miR-21a-5p	45089.7114793258	51475.1199469503	41177.0711167883	46866.2105607276	36804.3613353233	32483.8089488776	47124.6329447739	28858.7741408208	43320.376377804	42318.7159832408
mmu-miR-26a-5p	42337.7572575829	40832.6723790454	37297.656664351	48540.5297151154	40544.0996483183	33979.8817577543	48052.8883100494	41857.9253743947	46590.3893559831	51371.2857597803
mmu-miR-10b-5p	42130.5250773221	37961.7469997009	28572.7091410259	41258.6403409308	31489.5433646111	28356.4852787748	42651.2105744263	28930.3396067621	37134.7831116007	41552.704107108
mmu-miR-200b-3p	30723.8419509239	33905.0046158447	23927.6207835023	37792.1959351006	30125.3350271895	24913.2212153623	32252.3236719275	22079.3775522034	38100.983603774	32718.9948666065
mmu-miR-99a-5p	23940.8875776564	22302.9814456045	32115.9740741571	44180.2315478838	32032.6446017803	25326.6097546572	39609.6069374449	24770.2390715955	27006.3914613557	29995.0330453199
mmu-miR-200c-3p	21249.0975372795	23839.8626948732	20665.7254480126	25982.1347053817	18114.2767630133	17176.9499799867	22439.9161941126	25566.0470528625	32655.0298137318	29244.0924037046
mmu-let-7f-5p	14577.5583146899	21020.9468332705	15694.44755694	22779.281441711	12102.2923864264	17012.906908838	20913.0473470907	16880.8621062289	18423.0716580128	19561.8071327566
mmu-miR-200a-3p	13833.3051081618	12873.6558790259	15405.6079699806	13484.3803841068	15037.2768852326	10892.4599242777	14376.8352761307	9070.20715339771	12274.0889541158	11851.232499348
mmu-let-7g-5p	9659.69356376958	14566.5656815197	10883.7744362026	13581.5704141768	8587.19658199107	9842.58426892565	13495.0937962611	11934.2571003677	13066.2566283688	13466.4756769933
mmu-miR-199a-3p|mmu-miR-199b-3p	8788.42708546879	7817.03051658453	9481.90644087379	10137.2146515443	6864.93734970039	5698.85629170795	9739.60313544035	6745.76081962497	8942.52778423326	9767.47050952568
mmu-miR-26b-5p	8396.24575508276	9018.45037641888	6929.66009058607	9673.35314439199	8409.03183382307	7211.33340769953	11116.8186120257	7661.08312901393	9969.21529239105	10731.374247585
mmu-miR-29a-3p	7879.27945593754	8550.36471674316	7477.45930723319	7938.65836526369	9589.91122747765	6492.82475606795	8635.40394275961	8592.14984090997	9178.10879385707	8167.29856639796
mmu-miR-30d-5p	7420.2490351448	9496.93793964295	7357.93947814655	7624.99963185595	7186.83887537591	5502.00460632944	7001.35092501962	7680.40580481807	8088.81191827674	8545.3899714695
mmu-miR-30a-5p	7184.04891570775	8404.73806706627	7982.92858441212	6941.72426893954	8408.17113455656	5777.59696585936	5917.37516077626	6379.34563400562	5599.29368144142	7391.45762427543
mmu-miR-191-5p	7090.46018913836	10170.4611943986	5707.07183888727	9801.46727493881	7441.60585826349	6089.278801042	9654.66473600337	7999.58778291618	10159.6963339562	10258.9238090121
mmu-let-7c-5p	5945.85520784125	8664.78565577501	6867.82517900999	10424.8578718525	5712.1741320852	7388.49992454019	8920.55428372661	10988.8772952834	10185.7835703823	10217.2048844779
