	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu_piR_027673|gb|DQ711996|Mus_musculus:11:106317081:106317102:Plus	867	874	1381	720	2113	856	492	2520	3013	1831
mmu_piR_000935|gb|DQ541777|Mus_musculus:6:47717737:47717766:Minus	684	809	841	400	1180	649	387	2305	3573	2196
mmu_piR_011982|gb|DQ688886|Mus_musculus:4:118904156:118904177:Minus	104	169	213	165	229	103	121	265	566	397
mmu_piR_004086|gb|DQ551625|Mus_musculus:2:129969457:129969485:Plus	45	16	42	24	96	26	11	77	83	69
mmu_piR_032974|gb|DQ719597|Mus_musculus:4:130021751:130021778:Plus	37	62	53	46	102	72	28	185	203	120
mmu_piR_000802|gb|DQ541470|Mus_musculus:15:102219386:102219412:Plus	28	28	44	34	47	23	19	186	111	80
mmu_piR_030130|gb|DQ715526|Mus_musculus:2:143957422:143957449:Minus	27	10	17	10	56	38	3	189	64	67
mmu_piR_015668|gb|DQ694433|Mus_musculus:4:116652070:116652094:Minus	26	10	12	8	22	6	3	115	57	46
mmu_piR_017289|gb|DQ696831|Mus_musculus:6:128725729:128725759:Minus	17	39	46	34	48	33	32	83	85	86
mmu_piR_012107|gb|DQ689086|Mus_musculus:19:8791619:8791645:Plus	15	26	17	13	24	11	10	73	63	70
mmu_piR_003399|gb|DQ549760|Mus_musculus:5:108144856:108144884:Plus	15	11	11	0	35	11	5	60	78	32
mmu_piR_000580|gb|DQ540862|Mus_musculus:11:106317126:106317155:Plus	13	3	12	14	25	14	4	61	27	36
mmu_piR_037320|gb|DQ725966|Mus_musculus:4:100256592:100256610:Minus	12	10	7	20	15	9	5	27	28	37
mmu_piR_003770|gb|DQ550765|Mus_musculus:15:82977530:82977560:Plus	12	15	10	8	16	8	2	71	40	42
mmu_piR_018323|gb|DQ698371|Mus_musculus:6:145890159:145890184:Minus	12	16	43	14	30	24	32	29	11	9
mmu_piR_034793|gb|DQ722288|Mus_musculus:1:162875028:162875055:Plus	11	12	13	19	47	31	10	58	62	71
mmu_piR_006563|gb|DQ561416|Mus_musculus:4:116687907:116687936:Plus	10	1	2	1	14	6	3	28	13	7
mmu_piR_021137|gb|DQ702491|Mus_musculus:12:98801674:98801703:Minus	9.5	6	10	3	23.5	4.5	6.5	6.5	23.5	12.5
mmu_piR_002945|gb|DQ548138|Mus_musculus:18:10151086:10151112:Minus	9	3	9	2	5	0	1	21	12	13
mmu_piR_038645|gb|piRNA_1698|Mus_musculus:17:66052673:66052699:Minus	9	0	0	1	2	1	1	2	5	2
mmu_piR_011336|gb|DQ687898|Mus_musculus:9:54043930:54043958:Minus	8	5	5	7	7	9	1	25	6	9
mmu_piR_014928|gb|DQ693349|Mus_musculus:4:61708586:61708616:Minus	6	7	13	5	8	2	6	3	12	3
mmu_piR_025007|gb|DQ708131|Mus_musculus:19:8791079:8791105:Plus	6	2	4	0	6	3	1	8	4	9
mmu_piR_036540|gb|DQ724840|Mus_musculus:18:67164077:67164108:Minus	5	4	8.5	9	17	12	11	12	11	17
mmu_piR_009321|gb|DQ684704|Mus_musculus:7:72988380:72988411:Plus	5	2	8	6	5	1	7	6	4	6
mmu_piR_006854|gb|DQ562105|Mus_musculus:11:101420956:101420984:Plus	5	4	14	7	7	8	4	14	6	7
mmu_piR_014874|gb|DQ693275|Mus_musculus:10:66092702:66092731:Minus	5	5	7	12	9	2	2	6	8	8
mmu_piR_007147|gb|DQ562915|Mus_musculus:17:27066670:27066698:Plus	4.16666666666667	9	6.33333333333333	6.66666666666667	14.3333333333333	1	3	8.33333333333333	23.8333333333333	17.5
mmu_piR_003861|gb|DQ551040|Mus_musculus:11:101421069:101421098:Plus	4	6	5	5	12	5	5	10	20	17
mmu_piR_001278|gb|DQ542907|Mus_musculus:5:115750497:115750526:Plus	4	9	5	20	21	6	7	22	22	32
mmu_piR_026716|gb|DQ710615|Mus_musculus:6:85078536:85078565:Minus	4	2	4	7	8	3	1	3	5	4
mmu_piR_037835|gb|DQ726691|Mus_musculus:7:73668908:73668934:Minus	4	2	5	1	5	1	0.5	5	4	6
mmu_piR_026888|gb|DQ710862|Mus_musculus:15:74472877:74472908:Plus	4	9	26	11	19	13	16	3	18	11
mmu_piR_009999|gb|DQ685819|Mus_musculus:9:67533625:67533654:Plus	4	4	5	6	13	2	3	6	17	8
mmu_piR_020107|gb|DQ701004|Mus_musculus:9:54036807:54036837:Minus	3.5	10	22	11	29	10	9.5	11.5	34	18.5
mmu_piR_006642|gb|DQ561646|Mus_musculus:12:98801675:98801702:Minus	3.5	4	3	2	9.5	1.5	2.5	4.5	5.5	4.5
mmu_piR_037367|gb|DQ726038|Mus_musculus:18:67189571:67189597:Minus	3.5	0.5	2.5	1	6.5	1.5	1	2	8.5	2.5
mmu_piR_006418|gb|DQ561101|Mus_musculus:17:27019910:27019939:Minus	3.5	17	21.5	20.5	23.5	9.5	14	20.5	51	31
mmu_piR_035323|gb|DQ723080|Mus_musculus:7:73683254:73683284:Minus	3.5	2.5	4.5	0.833333333333333	5.83333333333333	1.5	1.33333333333333	2.75	2.83333333333333	0.583333333333333
mmu_piR_038208|gb|DQ727254|Mus_musculus:9:67525527:67525555:Minus	3	0	0	2	0.5	0	0	2	1	0
mmu_piR_024960|gb|DQ708070|Mus_musculus:7:73690704:73690734:Plus	3	2	4	3	8	1	3	0	8	3
mmu_piR_030002|gb|DQ715342|Mus_musculus:9:54032207:54032238:Minus	3	4	12	3	9	5	9	2	26	8
mmu_piR_035168|gb|DQ722853|Mus_musculus:5:115113853:115113877:Minus	3	1	0	0	0	1	0	1	1	0
mmu_piR_029743|gb|DQ714971|Mus_musculus:12:98797382:98797411:Minus	3	0	1	1	2	5	1	1	1	2
mmu_piR_029958|gb|DQ715288|Mus_musculus:7:72990361:72990390:Plus	3	0	1	3	0	0	1	0	3	1
mmu_piR_012765|gb|DQ690091|Mus_musculus:17:27045983:27046011:Minus	3	6.5	4.25	2	5.5	1	2.66666666666667	8.83333333333333	20.6666666666667	8.66666666666667
mmu_piR_000685|gb|DQ541194|Mus_musculus:3:100867581:100867608:Minus	3	3	5	2	1	2	0	8	11	4
mmu_piR_033954|gb|DQ721089|Mus_musculus:12:98797333:98797361:Minus	3	0	0	0	4	0	1	2	1	0
mmu_piR_000619|gb|DQ540976|Mus_musculus:17:39454691:39454717:Plus	3	6	10	4.5	6.5	6	4	3	11	8
mmu_piR_003435|gb|DQ549843|Mus_musculus:12:98797205:98797235:Minus	3	2	5	3	1	0	3	0	8	5
mmu_piR_037935|gb|DQ726847|Mus_musculus:7:73656612:73656642:Minus	3	4	5	9	5	0	5	5	8	3
mmu_piR_000709|gb|DQ541257|Mus_musculus:9:67541013:67541041:Plus	3	1	3	2	7	2	3	5	9	7
mmu_piR_025477|gb|DQ708814|Mus_musculus:9:54013680:54013708:Minus	3	0	0	0	0	0	0	0	0	1
mmu_piR_007432|gb|DQ563889|Mus_musculus:17:27085228:27085256:Plus	3	0	2	1.5	9	2	1	1	1	1
mmu_piR_013979|gb|DQ691955|Mus_musculus:5:113595485:113595513:Plus	3	2	1.5	1	0	0	0	1	0	0
mmu_piR_008669|gb|DQ568124|Mus_musculus:4:41999514:41999544:Plus	3	4	0	4	2	1	2	1	4	6
mmu_piR_015304|gb|DQ693890|Mus_musculus:9:67538206:67538235:Plus	3	0	1	0	0.5	1	0.5	0	0	0
mmu_piR_029052|gb|DQ713992|Mus_musculus:9:54014955:54014986:Minus	3	1	4	3	4	1	4	0	3	4
mmu_piR_022877|gb|DQ705026|Mus_musculus:16:23024323:23024351:Plus	3	1	6	5	7	3	2	5	9	14
mmu_piR_016154|gb|DQ695161|Mus_musculus:2:92362524:92362553:Plus	3	1	1	1	0	1	0	0	3	2
mmu_piR_000320|gb|DQ540310|Mus_musculus:8:113012140:113012169:Plus	3	4	2	4	6	1	0	3	2	1
mmu_piR_009762|gb|DQ685431|Mus_musculus:3:35065633:35065661:Plus	3	2	4	7	6	0	2	5	3	3
mmu_piR_037859|gb|DQ726733|Mus_musculus:5:150084241:150084266:Minus	3	1	0	1	1	0	0	1	1	0
