	input	successfully_clipped	passed_quality_filter	failed_homopolymer_filter	passed_phiX_filter	calibrator	UniVec_contaminants	rRNA	reads_used_for_alignment	genome	miRNA_sense	miRNA_antisense	miRNAprecursor_sense	miRNAprecursor_antisense	tRNA_sense	tRNA_antisense	piRNA_sense	piRNA_antisense	gencode_sense	gencode_antisense	circularRNA_sense	circularRNA_antisense	not_mapped_to_genome_or_libs	repetitiveElements	endogenous_gapped	input_to_exogenous_miRNA	exogenous_miRNA	input_to_exogenous_rRNA	exogenous_rRNA	input_to_exogenous_genomes	exogenous_genomes
MS28F1_sample2	1875580	679368	679365	5420	673945	0	0	0	289768	224386	132159	0	4707	7	36512	0	3957	60	34565	1361	4	47	65382	0	0	0	0	0	0	0	0
MS28F1_sample3	3759910	1291961	1291960	6189	1285771	0	0	0	509392	384545	235133	0	7064	7	52026	0	5525	99	63927	2445	19	121	124847	0	0	0	0	0	0	0	0
MS28F1_sample4	5787054	1562444	1562441	6594	1555847	0	0	0	640313	401607	229892	0	6020	9	60541	0	6950	119	63702	3535	30	124	238706	0	0	0	0	0	0	0	0
MS28F1_sample5	4669919	1115201	1115200	5838	1109362	0	0	0	435375	339541	230996	0	6805	7	19810	4	4924	86	57211	2013	24	107	95834	0	0	0	0	0	0	0	0
MS28F1_sample6	6813301	2066917	2066915	11950	2054965	0	0	0	833473	580923	355686	0	9540	9	84742	0	10255	131	84432	3605	61	162	252550	0	0	0	0	0	0	0	0
MS28F1_sample7	3012027	1040655	1040654	5592	1035062	0	0	0	400703	304798	153492	0	3968	6	74199	1	4150	34	51797	1703	28	71	95905	0	0	0	0	0	0	0	0
MS28F1_sample8	3178349	885814	885812	2966	882846	0	0	0	345239	247238	161493	0	5257	2	34018	0	3809	69	29873	1365	34	63	98001	0	0	0	0	0	0	0	0
MS28F1_sample9	5443078	1905282	1905279	17182	1888097	0	0	0	915460	698661	359234	0	9503	21	76715	2	10520	91	174486	6035	11	151	216799	0	0	0	0	0	0	0	0
MS28F1_sample11	7247536	2476545	2476544	17988	2458556	0	0	0	1152739	942351	575434	0	16032	17	110001	1	15819	201	166918	5741	11	356	210388	0	0	0	0	0	0	0	0
MS28F1_sample14	5004006	1965686	1965685	11104	1954581	0	0	0	942228	763043	505572	0	14214	18	61688	0	10277	156	128203	4768	19	188	179185	0	0	0	0	0	0	0	0
