	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
Gly	25035.8785714285	39881.3964285713	42335.844047619	13103.0980519481	57856.4011904757	52854.9607142853	23009.0940476189	49078.2803571428	81608.8409090901	42844.8821428571
Glu	7832.55670872814	9111.01671826622	12080.7169856459	3785.47426900584	18720.077244582	16144.9689087228	6954.44171826624	18559.6144041029	18089.6732174687	13173.3480650154
Val	919.121428571428	544.603571428572	1419.15595238095	644.901948051949	2251.59880952381	1741.03928571429	1249.90595238095	1176.71964285714	1665.15909090909	640.117857142857
Lys	749.352382180943	909.983281733745	1046.99210526316	617.668588137009	1610.22275541796	1145.34018218623	762.267372642838	2430.50377771524	2879.69821110262	1671.55193498452
His	396	118	359	154	587	342	228	658	478	274
iMet	261	333	512	271	529	317	407	535	800	562
Ala	145.090909090909	110	365.290909090909	131.666666666667	295.2	167.690909090909	127.290909090909	415.048484848485	503.2	270.1
Leu	131.465789473684	82	215.95	169.315789473684	318.156801093643	196.373684210526	192.215789473684	349.8	340.45	262.024561403509
Arg	126	101	266	97	294	127	97	576	445	249.1
Cys	125	252	531	153	423	251	221	514	663	380
Met	124	57	256	89	361	164	92	417	344	135
Gln	108	44	172	93	278	140	126	195	223	148
Asp	103	122	159	90	236	174	106	374	418	265
Thr	100	31	70	21	88.5	25	12	156	235	67
Ile	77	49	95	78.4285714285714	157	70	43	351	233	161
Trp	72	65	171	55	143	49	59	248	417	179
Ser	60	82	176.875	123.333333333333	215.616883116883	130	169.125	141.833333333333	182	85.9333333333333
Asn	52	30	68	19	140	17	22	200	127	83
Pro	34.5342105263158	31	76.8	46.6842105263158	90.2263157894737	67.6263157894737	57.7842105263158	108.7	116.55	90.9421052631579
SeC	32	43	97	35	88	48	54	89	131	76
Phe	14	10	32.875	10	26	13	12.875	33.5	37	19
Tyr	14	19	34.5	22.4285714285714	34	14	16	107	64.4285714285714	51
Sup	0	0	0	0	0	0	0	0.5	0	0
Und	0	0	0	0	0	0	0	0.5	0	0
