	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
Gly	111575.047335522	103710.609755871	105416.100933547	38590.6210205779	99593.9241353428	173409.801620369	93064.5533761757	70246.2000271129	86601.3204305934	56150.0231872346
Glu	34906.6194358299	23692.9792827009	30080.9422785108	11148.7987283004	32224.7135069226	52969.4056677629	28128.5308822521	26564.5490504019	19196.3219834952	17264.2276582256
Val	4096.16209822105	1416.22845552165	3533.6932682472	1899.33453707195	3875.89888767325	5712.10862838432	5055.47671628533	1684.24979046654	1767.02639558836	838.901421208054
Lys	3339.56834285982	2366.38958180121	2607.00661408581	1819.12814104043	2771.83508901861	3757.70241991822	3083.13193215783	3478.8027064846	3055.86581974511	2190.63923656271
His	1764.81598673714	306.856154676306	893.908721710528	453.553473660029	1010.46093888519	1122.05460665752	922.188336744351	941.801531787234	507.241993694494	359.088544158062
iMet	1163.17417307675	865.958470400083	1274.87817692421	798.136307544597	910.619823969786	1040.03307108314	1646.18707480242	765.750485571686	848.94057522091	736.524678163616
Ala	646.613019933994	286.052347579607	909.573062946884	387.778402804571	508.156846948735	550.170634620008	514.85171814571	594.062764128075	533.983621813953	353.977429843403
Leu	585.89122972772	213.239022741162	537.714731067935	498.660808190128	547.67465067426	644.274845013833	777.452452590962	500.671999725189	361.277273542449	343.394227328616
Arg	561.532359416363	262.648064595821	662.339052855154	285.679785357291	506.091168709106	416.669400717852	392.334511685097	824.434167643535	472.223194966631	326.456045072165
Cys	557.075753389249	655.319923546009	1322.18810927101	450.608321233665	728.151579469225	823.496217166779	893.875536932025	735.69298987635	703.559501714329	498.006010146218
Met	552.619147362135	148.227125563978	637.439088462104	262.118565946381	621.424870421725	538.061273367936	372.111083247721	596.855985950268	365.044447344991	176.923187815103
Gln	481.313450928311	114.420939031843	428.279387560476	273.899175651836	478.548792180719	459.32059921653	509.630396621878	279.105317170988	236.642185342829	193.960235530632
Asp	459.030420792741	317.258058224655	395.909433849509	265.063718372744	406.250053793704	570.869887597687	428.736682872374	535.309685240767	443.571450552925	347.293664970388
Thr	445.660602711399	80.6147524997074	174.299750751356	61.8482009536403	152.343770172639	82.0215355743804	48.5362282497027	223.284253736791	249.376293971142	87.8063228415699
Ile	343.158664087777	127.42331846728	236.549661733984	230.984097439106	270.259569684795	229.660299608265	173.921484561435	502.389570907779	247.25394253309	210.99728324616
Trp	320.875633952207	169.030932660677	425.789391121171	161.98338345001	246.159990222456	160.762209725786	238.636455561038	354.964711068744	442.5102748339	234.587041621508
Ser	267.39636162684	213.239022741162	440.418120202088	363.235465918205	371.162586292646	426.511984986778	684.057466894247	203.007371720095	193.133980862757	112.619253873416
Asn	231.743513409928	78.0142766126201	169.319757872746	55.9578961009127	240.995794623384	55.7746441905787	88.9830851244549	286.261863765117	134.769316316319	108.77499695299
Pro	153.905370773202	80.6147524997074	191.231726538631	137.492115904459	155.315447640176	221.872570651624	233.718969277845	155.583322956341	123.680030052496	119.183460516849
SeC	142.611392867648	111.820463144755	241.529654612594	103.080334922734	151.483070906127	157.48134830281	218.413027123662	127.386529375477	139.014019192424	99.6012020292434
Phe	62.3924843795959	26.0047588708734	81.8586329421549	29.4515242636383	44.7563618586284	42.6511984986778	52.0753282262435	47.948862180657	39.2635016039671	24.9003005073109
Tyr	62.3924843795959	49.4090418546594	85.9048771560257	66.0555615627315	58.5275501228218	45.932059921653	64.7149709996036	153.150097114337	68.3700356115412	66.8376487301502
Sup	0	0	0	0	0	0	0	0.715654659412791	0	0
Und	0	0	0	0	0	0	0	0.715654659412791	0	0
