	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mm9_circ_010964	5.81067466129416	6.77034973692355	13.8168138236746	12.6833312109892	8.77420889539047	11.6087564475408	9.12732545998069	1.50200254489298	3.31632483860978	4.53089829913314
mm9_circ_013120	3.87378310752944	1.93438563912102	1.42932556796634	2.53666624219785	3.4121923482074	1.4979040577472	0	3.75500636223245	2.5510191066229	4.20726270633792
mm9_circ_011174	0.645630517921573	0.483596409780254	0.476441855988779	1.01466649687914	0.487456049743915	0.374476014436799	0	0	0.25510191066229	0
mm9_circ_009900	0.322815258960787	0	0	0	0	0	0	0	0	0
mm9_circ_009604	0.322815258960787	0	0	0	0	0	0	0	0	0
mm9_circ_016410	0.322815258960787	0	0	0	0	0	0	0	0	0
mm9_circ_006216	0	0.483596409780254	0	0	0	0	0	0	0	0
mm9_circ_003008	0	0.483596409780254	0	0	0	0	0	0	0	0
mm9_circ_014192	0	0	0.476441855988779	0	0	0	0	0	0	0
mm9_circ_018654	0	0	0.476441855988779	1.52199974531871	0	0.748952028873599	0.730186036798456	0	0.510203821324581	0
mm9_circ_017246	0	0	0.476441855988779	0	0	0	0	0.250333757482163	0	0
mm9_circ_014912	0	0	0	0.50733324843957	0	0	0	0	0	0
mm9_circ_006032	0	0	0	0.50733324843957	0	0	0	0	0	0
mm9_circ_018538	0	0	0	0.50733324843957	0	0	0	0	0	0
mm9_circ_004976	0	0	0	0.50733324843957	0	0.374476014436799	0	0.250333757482163	0	0
mm9_circ_010639	0	0	0	0	0.487456049743915	0	0	0	0	0
mm9_circ_004670	0	0	0	0	0.487456049743915	0	0	0	0	0
mm9_circ_000398	0	0	0	0	0.487456049743915	0	0	0	0	0
mm9_circ_010404	0	0	0	0	0	0.748952028873599	0	0	0	0
mm9_circ_008117	0	0	0	0	0	0	0.365093018399228	0	0	0.323635592795224
mm9_circ_012199	0	0	0	0	0	0	0.365093018399228	0	0	0
mm9_circ_017140	0	0	0	0	0	0	0	0.250333757482163	0	0
mm9_circ_006404	0	0	0	0	0	0	0	0.250333757482163	0	0
mm9_circ_001878	0	0	0	0	0	0	0	0.250333757482163	0	0
mm9_circ_003057	0	0	0	0	0	0	0	0.250333757482163	0	0
mm9_circ_012296	0	0	0	0	0	0	0	0.250333757482163	0	0
mm9_circ_016182	0	0	0	0	0	0	0	0	0.25510191066229	0
mm9_circ_001801	0	0	0	0	0	0	0	0	0.25510191066229	0
mm9_circ_007087	0	0	0	0	0	0	0	0	0.25510191066229	0
