	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-148a-3p	35522	27241	36297	40038	29052	47471	35837	37572	41957	36834
mmu-miR-143-3p	32071	27351	24740	26962	38587	35202	23819	39355	52417	67098
mmu-miR-10a-5p	29271.5	25004.5	17640	22068	14358.5	20096.5	24058	30435.5	43290.5	36672.5
mmu-miR-21a-5p	23567	25348	16786.5	20064.5	13283.5	19295	20128	21150.5	37625	29950
mmu-miR-10b-5p	22403.5	17463.5	12212	16918	10829	15615.5	17866	19918.5	32064.5	27535
mmu-miR-26a-5p	20636	17441	14355	19576.5	14132	17650	19417.5	27570	35173	32887.5
mmu-miR-200b-3p	16192	15777	9625.5	16878.5	8351	14802.5	14006	15631	30532	21558.5
mmu-miR-99a-5p	13986	10858.5	13140	19485.5	11884	14466	16664.5	18119.5	24539.5	21579.5
mmu-miR-200c-3p	13323	12273	8891.5	12732.5	7576	10532.5	10708	18783.5	28208	21734
mmu-let-7f-5p	12131.5	13856.5	8830.5	14187.5	7294	12969.5	13836.5	15122	22202.5	19682
mmu-let-7g-5p	7938	9715	5714.5	8470.5	5069.5	7777.5	8621.5	10729	15145	14020.5
mmu-miR-200a-3p	7114.5	6024	5653.5	5739.5	5155	6251.5	6028	6517	10070.5	8277.5
mmu-let-7c-5p	6407.91666666667	6390.75	4401	8005.5	4490.41666666667	6506.33333333333	7145.41666666667	11011	13761.3333333333	12177.5
mmu-let-7i-5p	4987	5935.5	4628.5	4907	3424.5	4968.5	4109	7660	9151.5	9131
mmu-miR-199a-3p|mmu-miR-199b-3p	4504	3812	3800	4687	2708	3349	4139	5066	8000	7469
mmu-miR-26b-5p	4373	4496	2959	4682.5	3321	4552	4865.5	5404	8097	7521.5
mmu-miR-29a-3p	3947	3832.5	2846.5	3011.5	3300	3587	3442.5	5832.5	7188.5	5645.5
mmu-miR-30d-5p	3876	4506.5	3216	3218	2569	3159	2924	5776	6805	5925.5
mmu-miR-191-5p	3841	4525	2475	3917	2715	3338	4142	5443	8698	6564
mmu-miR-30a-5p	3825	4380.5	3638.5	3084.5	3158.5	3496	2851	5081	4834.5	5485.5
mmu-miR-34c-5p	3333	1967	2479	1445	2195.5	2129	1682.5	2009.5	2912	2814
mmu-let-7a-5p	3184.16666666667	4260.66666666667	2186.33333333333	4359.66666666667	2123.33333333333	3710.66666666667	4274.66666666667	5608	7622.75	7111.83333333333
mmu-let-7b-5p	2164.75	2155.75	1468	2484.5	1534.75	1990.5	2194.25	3783	4994.83333333333	3951.66666666667
mmu-miR-23a-3p	2013.5	1819	1181.5	1634	1333.5	1417.5	1611	1782.5	3623	2688
mmu-miR-145a-5p	1622	1457.5	958	1554	1857	1415	1424	1941.5	3663	3388.5
mmu-miR-146a-5p	1586	1521.5	1208	1267	901.5	1085	1850	2086	2762.5	1947.5
