	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
Gly	921635.807142902	618533.426190499	804561.449206385	506464.216666666	622937.074206373	841569.355988504	1351715.49725836	371418.521266221	741344.971428596	550804.125312964
Glu	174753.998401756	97481.7170771198	163160.256243552	86205.7333721848	129034.428725559	179958.421171638	270502.624761044	91780.9565492405	114190.611968761	96924.9906513906
Val	42272.9428571426	9767.32380952378	18576.550793651	22592.5333333335	23980.977741703	34963.2440115439	78537.3046897545	10035.4162337662	16032.0285714285	10151.9785714285
Lys	25894.7122043079	13204.2408482899	15369.6225443286	15396.8540404039	17709.7284172998	24548.0837234579	31825.8175799351	21061.288905307	25906.0501524537	16234.2355813217
His	12936	1702	5470.99999999999	3726	5024.99999999999	5320	7014.99999999999	4856	4399	2300
Asp	8378.00000000004	2622.00000000001	3484	4436.99999999999	4991	6175.99999999998	7082.99999999998	6857.8125	5916	4794.48148148148
Cys	5899.99999999998	3452.00000000001	6577.63636363635	3916.63636363638	4084.63636363638	5216.99999999999	8941.99999999998	3399.00000000002	7727.63636363636	3716.00000000001
iMet	1110	413	570	508	562	789	1134	555	866	596
SeC	1038	874	767	735	757	867	1195	986	1745	905
Gln	1031	149	471	470.000000000001	500.000000000001	801.000000000001	961.000000000001	339	275	197
Leu	826.202631578947	250.538888888889	460.214349376114	532.27134502924	511.284520123839	726.440350877193	1077.81537667699	591.645773524721	615.972138680033	397.967698658411
Arg	643	186	332	279	383	417	396	723	556.1	339
Pro	585.297368421054	210.85	487.073529411765	397.784210526316	424.715479876161	520.726315789474	1028.01795665635	381.392105263158	539.034210526317	267.365634674923
Ala	573.039393939394	204.542074592075	543.184848484848	277.776223776224	318.563636363636	431.895104895105	546.581468531468	552.954545454545	514.368181818182	349.759830007391
Met	465	131	345	229	365	499	316	498	418	192
Thr	383	133	260.8	148	259	295	297	371.8	391	236
Asn	315	153	165	233	207	213	286	361	340	299
Ser	260	100.111111111111	275.712121212121	238.944444444444	272.125	353	514	227.462121212121	286.851984126984	130.666666666667
Ile	219.25	67.25	146	119.25	121.090909090909	181	110.340909090909	345.25	242	179.428571428571
Trp	200	82	161	85	102	135	133	241	375	169
Tyr	81.75	33	39.5	83	49	65	58	113	83	70
Phe	29	18	23	32	22.875	32	23	27	31.375	21
Sup	0	0	0	0	0.5	0.833333333333333	0.5	0.5	0	0
Und	0	0	0	0	0	0	0.5	0	0	1
