                                 Started job on |	May 17 15:42:35
                             Started mapping on |	May 17 15:42:40
                                    Finished on |	May 17 15:43:21
       Mapping speed, Million of reads per hour |	326.97

                          Number of input reads |	3723836
                      Average input read length |	21
                                    UNIQUE READS:
                   Uniquely mapped reads number |	880642
                        Uniquely mapped reads % |	23.65%
                          Average mapped length |	21.55
                       Number of splices: Total |	0
            Number of splices: Annotated (sjdb) |	0
                       Number of splices: GT/AG |	0
                       Number of splices: GC/AG |	0
                       Number of splices: AT/AC |	0
               Number of splices: Non-canonical |	0
                      Mismatch rate per base, % |	0.31%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.00
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.06
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	30051
             % of reads mapped to multiple loci |	0.81%
        Number of reads mapped to too many loci |	0
             % of reads mapped to too many loci |	0.00%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	75.53%
                     % of reads unmapped: other |	0.01%
