	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
MS28F1_sample2	1875580	224386	213379	0.950946	0.169895
MS28F1_sample3	3759910	384545	366366	0.952726	0.184288
MS28F1_sample4	5787054	401607	370922	0.923594	0.171265
MS28F1_sample5	4669919	339541	321987	0.948301	0.183883
MS28F1_sample6	6813301	580923	548623	0.944399	0.149194
MS28F1_sample7	3012027	304798	289449	0.949642	0.182353
MS28F1_sample8	3178349	247238	235983	0.954477	0.150299
MS28F1_sample9	5443078	698661	636769	0.911413	0.23245
MS28F1_sample11	7247536	942351	890531	0.94501	0.169993
MS28F1_sample14	5004006	763043	725103	0.950278	0.164465
