	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
miRNA	132281.383486176	235402.530312923	230072.628852126	231178.216247041	356045.93449326	153771.474280186	161570.982069055	359928.582557186	576116.101526464	505976.462344345
tRNA	36511.9999999999	52025.9999999998	60540.9999999999	19810	84741.9999999995	74198.9999999995	34017.9999999999	76714.9999999998	110000.999999999	61687.9999999999
protein_coding	14199.5802244777	35109.7628470858	30762.0581994756	32323.480462679	39054.3231477231	27540.9004059797	13934.8479348221	85574.1367193556	85917.2696758854	67330.2347650695
snRNA	4478.58191597674	4573.64515848136	7667.90688908792	3621.9970771757	10769.5674543759	5550.07232920337	3619.80236152736	20937.8145208239	13947.4739816016	8096.40539050031
piRNA	3957	5525	6950	4924	10255	4150	3809	10520	15819	10277
misc_RNA	3699.9271978022	5550.08833180708	3393.92298534799	4260.94566544567	8725.81238057751	4169.89774114774	2700.05495892996	13944.9542424895	14672.1332299645	15460.5209401709
retained_intron	2343.48050053899	4362.54798675498	4828.11626405229	3788.82023506115	5732.63710142185	3401.4556028151	1873.15962887912	12680.4725635441	12155.2156276659	8898.24728647854
snoRNA	2566.66944444444	2393.5619047619	3862.70628815629	1714.73724053724	4714.72824675325	1856.23849206349	1168.78293650794	9390.41628094128	9087.58007873769	5678.23261183261
Mt_rRNA	2370.75	1908.08333333333	2808.5	2455.58333333333	2734.41666666667	1278	1544.5	7202.5	6541	4204.83333333333
processed_transcript	943.434419135491	2053.58504408488	1955.53198226403	1871.63023016297	2479.31942308678	1641.30321865952	865.232153499871	5353.24762508034	5322.10654049293	4189.76587736607
processed_pseudogene	621.799375180324	1571.54063293384	1376.71701427182	1517.75719681595	1805.35267519743	1215.46146999039	739.880966807994	3458.65685895584	3612.32174816876	3055.99989918525
nonsense_mediated_decay	653.492597340007	1599.11906861241	1392.70432601714	1378.88397579826	1734.52520584408	1201.17251928853	636.861669471443	3773.16580198964	3807.98500730232	2963.38699453437
TEC	630.239812596394	1713.04569457967	1271.35381509222	1344.629433217	1630.24930922653	1172.02887921295	583.978557150076	3676.08927474	3642.06363008781	2758.68446604572
lincRNA	640.082806004824	1308.12361947487	1565.56550898598	1223.36910366878	1912.80406291557	1040.63090798845	786.020674868684	3533.52766517946	2937.81095423744	2184.14196302311
Mt_tRNA	560	315.5	1150.5	483	1016	526	622.5	1290.83333333333	1512.16666666667	722.5
antisense	279.147774542503	350.905175122691	461.049792162081	364.79375291306	681.364931623344	375.357097612445	239.431342526582	1076.12530032388	882.291188568136	736.794595832372
scaRNA	172	256.833333333333	447.666666666667	221.666666666667	394.333333333333	177	148.833333333333	552.066666666667	884.5	465.333333333333
ribozyme	95	195.333333333333	139.666666666667	130	255	114.75	98.6666666666667	347.055555555556	465.508333333333	361.708333333333
unprocessed_pseudogene	83.9054666344015	132.141381452914	188.108769289072	142.877685504677	164.786454538617	86.1732697144745	104.46421433328	341.48246508118	338.300466719759	266.335655619433
transcribed_processed_pseudogene	23.7805489743544	63.1600281617721	51.8259562818924	59.4034280057945	71.8389515604511	53.457583740176	34.2048093244807	129.945367754996	139.34516633358	114.883566593905
pseudogene	23.3605762535558	55.5866047614167	43.6235268493481	41.0501490460607	55.1489300216473	37.2046245677118	22.1416891638143	126.401140310851	115.558515678838	102.205035563997
rRNA	18.9137291280148	33.9137291280148	75.9673720792665	20.5369175338119	66.3141372912801	35.8757054125998	33.9565217391304	40.645390070922	51.3757054125998	37.7850101112235
sense_intronic	10.5247538551247	30.5712957993811	30.5247623964107	27.0333758346916	29.9054252409048	19.2280984010779	13.0378781420342	119.961016667819	105.600690215357	77.8027244343727
circularRNA	4	19	30	24	61	28	34	11	11	19
transcribed_unprocessed_pseudogene	7.60904095904096	12.5130147630148	10.810682781271	9.76493228993229	13.8478707595087	7.43025754774981	6.16718648998061	22.4729394429623	31.6508611271769	30.8886845045164
IG_C_gene	4.5	28.3333333333333	10	8.25757575757576	1	3	4	113	6	11.25
translated_processed_pseudogene	2.62315168491639	7.82493006619734	4.78452107334614	5.75241868619931	7.67706873989668	6.19115403461145	2.4931098914845	13.2212301857959	11.825356602191	18.7862845878164
IG_V_gene	4.91666666666667	20.6717171717172	2.4	3.74675324675325	5.5	0	2	48.5241433128275	6.83333333333333	8.73684210526316
sense_overlapping	1.66666666666667	2.05604575163399	1.66111111111111	3.44444444444444	1.65535714285714	1.22222222222222	4.03571428571429	5.35941368572947	11.7236120160033	2.77692307692308
bidirectional_promoter_lncRNA	3	1.25882352941176	3.07794612794613	1.38095238095238	2.14285714285714	1	0.0476190476190476	9.61709956709957	7.2037037037037	2.64285714285714
transcribed_unitary_pseudogene	0	1	7	1.33333333333333	5.2	1.5	2	3.7	2	2.225
polymorphic_pseudogene	1.58817829457364	2.18503663003663	1.54347826086957	1.52083333333333	1.25618222357353	2.72414021164021	0.964080459770115	5.95214567023391	7.53773301411232	2.59213218382165
non_stop_decay	0.958333333333333	1.25	2.45238095238095	0.933333333333333	3.125	0.5	0.625	3.62777777777778	4.68333333333333	6.70238095238095
IG_V_pseudogene	0.0833333333333333	1.32828282828283	2.2	0.253246753246753	0	0.666666666666667	1	7.0949043062201	2.16666666666667	0.210526315789474
unitary_pseudogene	1	1.5	0.333333333333333	0	0.833333333333333	1	0.25	0	0.333333333333333	0.5
translated_unprocessed_pseudogene	0	0	0.0909090909090909	0.2	0	0.0833333333333333	0.0769230769230769	0.1	0.333333333333333	0.0909090909090909
IG_J_gene	0	0.5	1	0	0	0	0	4.5	0	0
macro_lncRNA	0	0	0	0	0	0	0	0.5	0	0
scRNA	0	0	0	0	0	0	0	1	1	0
sRNA	0	0	0	0	0	0	0	0	1	0
TR_C_gene	0	0	0	0	1	0	0	1.25	1	5.33333333333333
TR_J_gene	0	0	0	0	0	0	0	0	2	0
TR_V_gene	0	0	0	0	0.4	0	1	1	1	0
TR_V_pseudogene	0	0	0	0	0	0	0	1	0	0
exogenous_miRNA	0	0	0	0	0	0	0	0	0	0
exogenous_rRNA	0	0	0	0	0	0	0	0	0	0
exogenous_genomes	0	0	0	0	0	0	0	0	0	0
