	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mm9_circ_010964	17.826424108456	41.6076141933974	69.7199003005426	61.8482009536404	91.234122250281	88.5832584203308	133.474627686682	11.4504745506047	9.55058147123524	24.9003005073109
mm9_circ_009548	0	2.60047588708734	0	0	0	0	0	0	0	0
mm9_circ_018840	0	2.60047588708734	0	0	0	0	0	0	0	0
mm9_circ_011174	0	2.60047588708734	2.48999643930509	2.94515242636383	1.72139853302417	0	4.04468568747523	0	0	0
mm9_circ_009934	0	0	2.48999643930509	0	0	0	0	0	0	0
mm9_circ_018654	0	0	0	2.94515242636383	5.16419559907251	0	0	0	1.06117571902614	0
mm9_circ_004976	0	0	0	2.94515242636383	1.72139853302417	0	0	0	0	0
mm9_circ_013905	0	0	0	0	1.72139853302417	0	0	0	0	0
mm9_circ_000807	0	0	0	0	1.72139853302417	0	0	0	0	0
mm9_circ_007087	0	0	0	0	1.72139853302417	0	0	0	0	0
mm9_circ_013120	0	0	0	0	0	3.28086142297522	0	0	0	0
mm9_circ_006435	0	0	0	0	0	0	0	1.43130931882558	0	0
mm9_circ_013331	0	0	0	0	0	0	0	1.43130931882558	0	0
mm9_circ_007768	0	0	0	0	0	0	0	0.715654659412791	0	0
mm9_circ_007233	0	0	0	0	0	0	0	0.715654659412791	0	0
mm9_circ_004772	0	0	0	0	0	0	0	0	1.06117571902614	0
