	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-148a-3p	16059	23980	36820	32154	48132	25506	21993	36486	47966	41093
mmu-miR-143-3p	13041	21302	22841	21602	60182	17800	13310	37268	55683	73091
mmu-miR-10a-5p	12400.5	19750	16771	16762	23538	10076	13786	29085.5	45563	38922.5
mmu-miR-21a-5p	10117.5	19794.5	16537	15913	21380.5	9901	11651	20162.5	40823	32291
mmu-miR-26a-5p	9500	15702	14979	16481.5	23553	10357	11880.5	29244.5	43904.5	39198.5
mmu-miR-10b-5p	9453.5	14598	11475	14009	18293	8643	10545	20212.5	34994	31706.5
mmu-miR-200b-3p	6894	13038	9609.5	12832	17500.5	7593.5	7974	15426	35904.5	24966
mmu-miR-99a-5p	5372	8576.5	12898	15001	18608.5	7719.5	9793	17306	25449.5	22887.5
mmu-miR-200c-3p	4768	9167.5	8299.5	8822	10523	5235.5	5548	17862	30772.5	22314.5
mmu-let-7f-5p	3271	8083.5	6303	7734.5	7030.5	5185.5	5170.5	11794	17361	14926.5
mmu-miR-200a-3p	3104	4950.5	6187	4578.5	8735.5	3320	3554.5	6337	11566.5	9043
mmu-let-7g-5p	2167.5	5601.5	4371	4611.5	4988.5	3000	3336.5	8338	12313	10275.5
mmu-miR-199a-3p|mmu-miR-199b-3p	1972	3006	3808	3442	3988	1737	2408	4713	8427	7453
mmu-miR-26b-5p	1884	3468	2783	3284.5	4885	2198	2748.5	5352.5	9394.5	8188.5
mmu-miR-29a-3p	1768	3288	3003	2695.5	5571	1979	2135	6003	8649	6232
mmu-miR-30d-5p	1665	3652	2955	2589	4175	1677	1731	5366	7622.5	6520.5
mmu-miR-30a-5p	1612	3232	3206	2357	4884.5	1761	1463	4457	5276.5	5640
mmu-miR-191-5p	1591	3911	2292	3328	4323	1856	2387	5589	9574	7828
mmu-let-7c-5p	1334.16666666667	3332	2758.16666666667	3539.66666666667	3318.33333333333	2252	2205.5	7677.5	9598.58333333333	7796.16666666667
mmu-let-7i-5p	1163	2863.5	2725.5	2015.5	2806.5	1603.5	1214.5	5153.5	5979.5	5769.5
mmu-miR-34c-5p	845	1096	1572.5	703	1923	757	594.5	1391.5	2124.5	1898.5
mmu-miR-23a-3p	832	1653	1221	1092	2095	693	1123	1841	4068.5	3044
mmu-let-7a-5p	819.5	2422.5	1568.83333333333	2313.33333333333	1867.66666666667	1422.83333333333	1469.58333333333	4181.5	5725	4915
mmu-miR-30b-5p	695.333333333333	890	989.166666666667	1077	1907.5	603.5	789.5	1099.66666666667	2668.5	1587.5
mmu-miR-34b-3p	656	727	977	700	1170	298	380	1185	3548	2088
mmu-miR-27b-3p	631.5	1173	1244.5	929.5	1703	572.5	758.5	1813.5	2763	2227
mmu-miR-92a-3p	629	922	808.5	812	1130	382	398	1617	2537	2233.5
mmu-miR-152-3p	554	911	908	773	1078	549	483	1437	2178	1562
mmu-miR-146a-5p	553.5	1134.5	1036	909.5	1422	617.5	880.5	1812.5	2872	2010
mmu-miR-23b-3p	552	900	818	898	1542	536.5	712	1645.5	2910.5	2753
mmu-miR-145a-5p	527	957	661	874	2271.5	690	624	1564	3462	3071
mmu-miR-27a-3p	445.5	1094	1012.5	946	1498	557.5	678.5	1804.5	2586	1994
mmu-let-7b-5p	437	994	845	866.5	1053.5	583.5	597.5	2415.33333333333	3162.75	2325.5
mmu-miR-100-5p	426	571	681	742	845.5	369.5	513	983	1719.5	1650.5
mmu-miR-182-5p	426	817	598	592	840	503	431	935	1735	1196
mmu-miR-221-3p	418	806	506	530	1071	322	439	1279	2189	1729
mmu-miR-126a-3p	408	825	835	653	1166	411	468	1374	1960	1963
mmu-miR-881-3p	398	507	947	471	931	425	524	452	911	871
mmu-miR-429-3p	355	716.5	584	638	920.5	381	481	788	1966	1172.5
mmu-let-7d-5p	351.5	921.5	589.5	1025	958.5	609.5	644.5	1677.5	2416	2004.5
mmu-miR-183-5p	347	783	567	522	787	438	374	922	1726	1052
mmu-miR-205-5p	322	601	301	349	758	196	299	1251	1863	1539
mmu-miR-16-5p	312	430	434	419	706	230	286	813	1600	933
mmu-miR-7a-5p	299	318	236	259.5	416.5	222	153	735	398.5	642
mmu-miR-99b-5p	296	549	353	435	744	252	317	876	1396	1391
mmu-miR-141-3p	283	606	854.5	647	1225	444	455.5	776	1492	1202
mmu-miR-148b-3p	278	370	433	479	751	320	308	632	861	761
mmu-miR-22-3p	263	513	485	404	665	241	268	723	1311	857
mmu-miR-1a-3p	262	1120	375	391	869	309	260	732	1332	1354
mmu-miR-25-3p	253	496	435	332	517	176	211	771	1413	1000
mmu-miR-30a-3p	247	402	373	405	485	278.5	305.5	553	801	677.5
mmu-miR-101a-3p	231	550	398.5	487.5	727	337.5	324	459	710.5	819.5
mmu-miR-125a-5p	206	511	401	415	669	234	269	1122	1528	1335
mmu-miR-340-5p	193	312	331	292	397	188	218	337	641	553
mmu-miR-150-5p	190	447	211	346	347	89	141	755	751	652
mmu-miR-101a-3p|mmu-miR-101c	187.5	389.5	467.5	428.5	751	381	330	379.5	571	670
mmu-miR-199a-5p	175.5	434.5	481	451.5	747.5	334	341.5	593.5	749	946.5
mmu-miR-140-3p	166	259	274	228	414	159	161	295	423	411
mmu-miR-465c-5p	155	286	313	232	374	163	183	260	810	548
mmu-miR-374b-5p|mmu-miR-374c-5p	151	166.5	200.5	241.5	291.5	105.5	132.5	242	509	460
mmu-miR-883a-3p	149	321	261	219	479	128	140	349	753	612
mmu-miR-101b-3p	148	249.5	220.5	248.5	426	193.5	170.5	244.5	438.5	452.5
mmu-miR-103-3p	142	354	221	216.5	357	139.5	160.5	634	830	731
mmu-miR-465a-3p|mmu-miR-465b-3p|mmu-miR-465c-3p	140	196	177	174	299	113	122	271.5	658	446
mmu-let-7e-5p	138	224	197.5	181.5	251	177	158	481	637.5	592
mmu-miR-425-5p	133	185	163	188	320	84	140	256	525	393
mmu-miR-465b-5p	125	199	224	157	304	93	137	201	478.5	380
mmu-miR-203-3p	125	147	148	143	247	103	90	273	475	411
mmu-miR-378a-3p	119.583333333333	281	264.25	277.666666666667	349.5	169.916666666667	148.166666666667	349.833333333333	449.75	540.5
mmu-miR-196b-5p	119	189	184	254	274	129	151	440.5	415	576
mmu-miR-1839-5p	116	151	143	112	197	85	96	219	431	294
mmu-miR-145a-3p	113	306	266	210	519	186	172	580	946	937
mmu-miR-184-3p	109	133	265	173	286	121	132	149	389	232
mmu-miR-34c-3p	103	162	203	142	292	85	86	210	617	361
mmu-miR-146b-5p	103	179.5	171	140.5	215.5	92	77.5	256.5	391.5	304
mmu-miR-210-3p	102	182	145	169	252	127	84	389	392	435
mmu-miR-375-3p	102	130	133	92	163	55	46	234	508	307
mmu-miR-652-3p	101	136	121	118	247	62	100	157	329	236
mmu-miR-96-5p	95	162	144	150	268	112	82	228	316	293
mmu-miR-743a-3p	95	205	129	83	191	80	109	124	398	289
mmu-miR-743b-3p	88	133	136	116	174	70	100	127	386	258
mmu-miR-30e-3p	88	152	145	102	189	87.5	111.5	142	301	285.5
mmu-miR-98-5p	87	160	176	121	216	119	134	248	436	325
mmu-miR-20a-5p	86	231	106	94	125	81	60	219.5	478.5	472.5
mmu-miR-10a-3p	86	205	167	190	260	131	155	285	477	387
