	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
MS28F1_sample2	15581737	3097747	2964462	0.956974	0.262194
MS28F1_sample3	12050043	2067840	1965590	0.950552	0.310016
MS28F1_sample4	12841746	2098892	1990604	0.948407	0.220878
MS28F1_sample5	13494539	1971091	1853330	0.940256	0.31448
MS28F1_sample6	12152558	2051467	1952620	0.951816	0.247513
MS28F1_sample7	15779803	2670398	2529611	0.947279	0.289654
MS28F1_sample8	13637872	2739028	2668880	0.974389	0.141108
MS28F1_sample9	14630392	3994667	3576945	0.89543	0.444887
MS28F1_sample11	17192616	3920002	3651658	0.931545	0.356975
MS28F1_sample14	14423460	3089895	2895503	0.937088	0.361526
