	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126
MS28F1_sample2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196431	198152	195582	309017	196344	195407	211184	142516	142039	195989	331876	397649	605805	499131	191744	196598	337227	333785	335985	196062	166579	294336	195081	497970	272949	232206	153509	140606	110458	120382	120992	156300	116429	89996	68824	83234	110310	70702	102585	108840	110464	250190	142029	219296	237654	194092	105521	129752	135285	100838	90492	69906	80541	214442	314218	333447	114850	274256	287649	76181	88661	62247	133526	129457	78315	55076	39279	52652	49144	37363	32960	29564	31442	26389	32167	19190	22421	29650	29555	26948	28809	24736	36907	17607	20891	19788	17028	19166	28367	18421	22007	23205	15519	16408	22212	19467	20051	11153	8531	4513	9989	5343	0	0	0	0	0	0	336654
MS28F1_sample3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193966	181937	167511	252024	174491	174947	151269	107998	102050	124940	196336	329465	471494	393851	138817	167932	302492	294960	306900	143295	135992	270646	153233	537781	297079	178664	118319	98243	83396	89470	87371	108898	80585	64453	52463	70194	88234	48173	77094	73819	72066	151187	90416	135010	147130	113448	59869	85575	142765	99921	66718	41002	51145	153408	225285	161689	68517	181970	171559	46437	45953	37838	85857	72568	43582	30857	23855	31751	26261	22180	16679	17656	16244	15945	22319	12285	13182	18617	20183	18307	21937	16482	27670	11327	11671	11544	11141	12342	17086	9767	11760	12196	8656	8427	10165	9042	8770	5579	3838	1759	4055	2432	0	0	0	0	0	0	138787
MS28F1_sample4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187477	205547	175665	269669	163818	175657	205651	123239	129522	180648	358069	321256	525983	324878	127677	153545	365187	363505	343196	138484	153460	355744	151547	541717	241992	157016	101394	92295	73832	79557	82415	106135	74999	60578	51672	73838	109980	48134	77126	80292	71664	145762	92263	157950	161481	118923	58147	78660	104116	79268	60475	39929	52975	167699	260157	177983	75810	213693	196475	52311	53056	38588	90541	84182	47870	33039	25282	33074	30514	23099	19546	18353	20701	15482	21032	11158	12435	17198	18121	17678	20637	15228	21941	10761	13454	13322	10650	13346	18345	9818	10055	10523	8316	9027	10698	9702	9247	6273	4082	2224	4223	2882	0	0	0	0	0	0	189571
MS28F1_sample5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175585	216137	184686	258858	168222	171655	171625	111581	110099	129214	199637	341159	436620	344858	139992	174807	409153	384378	363091	144364	200785	552540	198742	825702	438570	190069	126503	123353	94267	97373	96074	117657	83814	72492	60727	76473	102661	55281	89042	83504	76534	153654	95981	147248	137573	97808	58596	79333	137292	101647	68185	51984	62748	191755	257060	147839	75846	209761	189567	57643	60059	39534	75591	66088	43178	30311	25654	30358	30259	22513	18950	16983	19066	14576	19850	9766	10500	12775	16086	12590	11533	10660	12199	5506	5212	4844	5330	4780	3538	2256	1809	1871	1205	870	904	747	601	382	378	161	252	523	0	0	0	0	0	0	37289
MS28F1_sample6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168961	185045	159596	230731	156035	152021	157248	117396	114619	154123	259000	303531	422712	321364	134372	149453	283282	271051	275966	138631	137877	254491	161354	426310	256735	159492	105890	102243	82196	89412	94020	109838	83669	69189	56673	70914	92294	52984	84858	85990	87117	225334	107655	175491	169482	121815	66261	80809	117018	90522	71035	49230	63928	159107	257886	179714	88639	221609	200191	58165	59280	41726	71972	63273	42850	33988	28011	35117	32235	25548	21113	20227	21346	18999	24629	14106	15708	20985	22217	21241	21691	19663	27607	13470	17233	15655	12654	15756	20617	12101	13446	14617	11078	10734	13414	11522	11126	7735	5895	2779	5567	3838	0	0	0	0	2	0	245296
MS28F1_sample7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228995	248766	207486	309441	210132	200598	203998	147345	146635	189287	323689	404138	599117	459544	176269	192876	389985	343539	347566	169593	194648	379722	201586	614626	296313	179547	135435	132698	106115	114061	109392	132914	100884	86885	75609	94933	122915	67510	110565	110606	106866	199009	133770	190728	177968	128602	77817	98049	133586	106408	80952	55961	68497	189876	298273	186964	93685	268397	242824	69016	68350	48208	77975	72292	48736	40999	36798	45363	44596	35152	29147	29323	33306	30620	33851	19347	21635	27569	30731	27779	27505	23551	32961	17376	23557	20235	16705	21963	28301	16249	18337	19947	15426	15911	22683	18405	19326	12160	8937	4455	8375	6566	0	0	0	0	0	2	439940
MS28F1_sample8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187396	196346	185965	263220	168896	167603	201940	133186	117817	174121	301267	530874	849020	690504	214286	215396	432008	335757	317700	143459	152694	300841	150868	304773	267338	167009	113882	112836	83850	93416	87364	110813	79348	68025	54351	70934	92031	54831	91480	87506	83571	149553	106292	193701	186990	132596	66350	86228	104735	92117	66693	48264	61239	165899	255554	161892	87185	202884	172539	54194	51168	37736	69075	58060	38934	33271	29882	39436	34996	26752	23519	21129	23517	19833	23956	15050	15504	23792	25265	26099	29079	22550	31886	14754	15912	15200	12999	18004	22877	12038	13347	13988	11896	11733	11870	11937	10030	8242	5827	2813	5988	3815	0	0	0	0	0	0	238660
MS28F1_sample9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212629	230747	231635	341483	239074	208580	191184	149582	154691	178217	253033	292252	338530	305831	164357	191563	269729	281260	278609	199547	189511	320760	235289	605849	462828	262386	182701	158645	134440	137110	132452	141176	117922	105924	88324	94962	104670	77624	102188	103565	116032	284959	131539	169559	165964	124246	100643	111663	170072	116109	85807	75058	86620	154054	174277	134678	73050	137250	137606	58184	63916	46587	88711	81040	56904	40217	33964	40707	39943	33684	27437	25895	24401	25320	28941	20682	23741	26195	25418	21555	22589	20699	26131	15161	16862	15337	12987	13933	17062	14059	17201	19652	10956	9432	14179	10172	10634	5665	4362	1705	1614	1544	0	0	0	0	0	1	65813
MS28F1_sample11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231755	237237	256949	443073	259961	240290	264357	152482	145169	179718	299291	335914	479826	431512	168353	198996	302807	326171	357778	207581	184390	328195	252232	840339	554942	317401	187254	144545	119410	118071	125273	153997	113759	104541	75162	81476	91756	70995	94624	90983	107011	288616	122281	194460	189414	163091	96395	124610	222398	129805	89346	63245	83629	209458	298674	284780	103664	245865	227241	68298	71374	61468	168078	159570	96999	56639	37308	47464	43583	36398	29129	27554	26494	24898	35828	19245	20290	26424	23910	22606	32044	27212	49175	18472	17665	16157	15133	16996	24633	15527	18168	20848	13842	12265	16584	14093	14939	8259	6189	3286	5559	4146	0	0	0	0	0	0	219963
MS28F1_sample14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201953	225320	227053	354415	224053	197659	172223	126122	126474	143210	205330	309298	438944	401084	151869	182372	303257	306101	305384	164836	189562	424193	219356	882899	475716	259477	163645	138982	113026	113086	113567	139859	100151	85964	66127	73039	90391	62799	88335	85746	93495	247960	109320	159461	149707	117690	76743	98714	151536	103608	73356	59051	74707	173418	211803	152392	78290	207558	202570	61111	66243	51581	124137	107863	66524	41929	34229	42281	44438	33157	28349	25612	27072	23117	30910	17212	18501	23077	22322	20292	25216	23423	33332	14340	15275	15609	14701	15604	20230	12848	14449	14771	9906	9243	11347	9507	9561	5625	4319	1941	2373	2585	0	0	0	0	0	0	93470
