	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-148a-3p	11467.0436288051	13173.6497988239	17293.4100468247	20312.6086010235	14161.5731571602	17776.7508813293	13083.8385003731	9405.53993611983	10703.3108656577	11920.7934250193
mmu-miR-143-3p	10353.0081701314	13226.8454038997	11787.1715171624	13678.7190444277	18809.4665914684	13182.3046602042	8696.15060525121	9851.88502571053	13371.6768511853	21715.301005374
mmu-miR-10a-5p	9449.28685267067	12092.0864283504	8404.43433964206	11195.8301265644	6999.137690248	7525.65722412914	8783.40783664862	7619.03307584838	11043.4892635259	11868.5262767829
mmu-miR-21a-5p	7607.78720792886	12258.2017951099	7997.79121555564	10179.3879633157	6475.12243677329	7225.51469855804	7348.59227433966	5294.68413762649	9598.20938866868	9692.88600421697
mmu-miR-10b-5p	7232.19165412798	8445.28590219746	5818.30794533497	8583.06389710064	5278.66156267686	5847.63020343784	6522.7518667206	4986.27294840847	8179.71521443101	8911.3060476165
mmu-miR-26a-5p	6661.61568391479	8434.40498297741	6839.32284271892	9931.80933807724	6888.72889498101	6609.50165480951	7089.193684767	6901.70169378324	8972.69950372474	10643.5655580529
mmu-miR-200b-3p	5227.02467309306	7629.70055710306	4585.99108481999	8563.02423378728	4070.74547141143	5543.18120370072	5113.49281569958	3912.96696320369	7788.77153634105	6977.09792727585
mmu-miR-99a-5p	4514.89421182556	5251.13161559889	6260.44598769255	9885.64201246924	5792.92769515669	5417.17002484274	6084.09260511393	4535.92251869805	6260.07333669728	6983.89427472455
mmu-miR-200c-3p	4300.86769513456	5935.17873723305	4236.28276252423	6459.62058575682	3692.9670328599	3944.16862205559	3909.41604101893	4702.14413366621	7195.91469596189	7033.89597381141
mmu-let-7f-5p	3916.23331408278	6700.95365212009	4207.21980930891	7197.7904622364	3555.50442683212	4856.76666923807	5051.60954908091	3785.54708064527	5663.9001714795	6369.79573739561
mmu-let-7g-5p	2562.50752563072	4698.13912101517	2722.62698604788	4297.36628090738	2471.15844417678	2912.48720228221	3147.64945812894	2685.83088402613	3863.51843698039	4537.53282878544
mmu-miR-200a-3p	2296.66915987652	2913.18477251625	2693.56403283256	2911.83917941891	2512.83593642988	2341.03680425165	2200.78071491054	1631.42509751126	2569.0037913246	2678.89361936247
mmu-let-7c-5p	2068.57327814914	3090.54375580316	2096.82060820662	4061.45632038298	2188.88077003757	2436.46577526396	2608.74173855348	2756.4250036361	3510.542426594	3941.07243126385
mmu-let-7i-5p	1609.87969643744	2870.3864902507	2205.21113044406	2489.48425009297	1669.29324234804	1860.58407772924	1500.16721260243	1917.55658231337	2334.56513542595	2955.11659781319
mmu-miR-199a-3p|mmu-miR-199b-3p	1453.95992635938	1843.46951408233	1810.47905275736	2377.87093543626	1320.03098270652	1254.12017234884	1511.1200031544	1268.19081540464	2040.81528529832	2417.23424258753
mmu-miR-26b-5p	1411.67112743552	2174.24945837202	1409.7914518708	2375.58793581829	1618.84154119954	1704.61481771631	1776.36008102144	1352.80362543361	2065.56017063257	2434.22511120928
mmu-miR-29a-3p	1274.15182711822	1853.38324048282	1356.19174307206	1527.83407767576	1608.60496415492	1343.2454637848	1256.83271583934	1460.07164051472	1833.80008479588	1827.08473912544
mmu-miR-30d-5p	1251.23194373201	2179.32722067471	1532.23700885991	1632.59839347854	1252.27459179212	1182.96972960585	1067.53198579934	1445.92778321697	1735.96850205689	1917.7027051081
