	input	successfully_clipped	passed_quality_filter	failed_homopolymer_filter	passed_phiX_filter	calibrator	UniVec_contaminants	rRNA	reads_used_for_alignment	genome	miRNA_sense	miRNA_antisense	miRNAprecursor_sense	miRNAprecursor_antisense	tRNA_sense	tRNA_antisense	piRNA_sense	piRNA_antisense	gencode_sense	gencode_antisense	circularRNA_sense	circularRNA_antisense	not_mapped_to_genome_or_libs	repetitiveElements	endogenous_gapped	input_to_exogenous_miRNA	exogenous_miRNA	input_to_exogenous_rRNA	exogenous_rRNA	input_to_exogenous_genomes	exogenous_genomes
MS28F1_sample2	15581737	13867495	13867493	12801	13854692	0	0	0	4238620	3097747	332440	0	11091	20	1199531	0	47684	170	1364149	9228	35	114	1140873	0	0	0	0	0	0	0	0
MS28F1_sample3	12050043	10331375	10331374	6923	10324451	0	0	0	2842663	2067840	305812	0	8430	21	749768	1	21478	95	872184	7630	21	150	774823	0	0	0	0	0	0	0	0
MS28F1_sample4	12841746	10980151	10980150	6739	10973411	0	0	0	3167334	2098892	246986	0	6061	9	1022247	2	24393	113	683057	7592	36	108	1068442	0	0	0	0	0	0	0	0
MS28F1_sample5	13494539	11414554	11414554	7613	11406941	0	0	0	2760579	1971091	313671	0	7983	16	647107	2	25872	93	850917	7513	39	117	789488	0	0	0	0	0	0	0	0
MS28F1_sample6	12152558	10498416	10498414	7773	10490641	0	0	0	3008390	2051467	234169	0	5746	7	812618	0	26968	91	866629	6253	29	110	956923	0	0	0	0	0	0	0	0
MS28F1_sample7	15779803	13425313	13425312	11451	13413861	0	0	0	3823703	2670398	306142	0	7515	15	1104079	0	23760	113	1079284	8527	41	135	1153305	0	0	0	0	0	0	0	0
MS28F1_sample8	13637872	12037443	12037441	5595	12031846	0	0	0	3788902	2739028	298180	0	7946	13	1763698	2	27888	121	565535	5369	29	99	1049874	0	0	0	0	0	0	0	0
MS28F1_sample9	14630392	12218745	12218745	17508	12201237	0	0	0	4923962	3994667	387362	0	10816	27	515723	4	41025	107	2602094	19588	28	171	929295	0	0	0	0	0	0	0	0
MS28F1_sample11	17192616	14522493	14522493	15233	14507260	0	0	0	4842576	3920002	550822	0	14863	30	922795	0	55636	156	2092185	14851	29	291	922574	0	0	0	0	0	0	0	0
MS28F1_sample14	14423460	12494061	12494060	10172	12483888	0	0	0	4035696	3089895	492994	0	12848	34	689276	1	41041	153	1647108	11843	28	177	945801	0	0	0	0	0	0	0	0
