	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
Gly	297518.10175037	299120.544234805	383326.750116912	256946.136259902	303654.445431671	315147.538302719	493501.890911068	92978.5940270419	189118.518671316	178259.819609716
Glu	56413.2572484956	47141.8083977096	77736.3753082827	43735.0347458259	62898.6129075238	67390.1123246938	98758.6197589232	22975.8717182785	29130.2432929271	31368.3768061344
Val	13646.350995463	4723.44272744689	8850.64633799689	11461.9433264794	11689.6726789673	13092.8962692243	28673.4216261223	2512.20345369619	4089.80112036385	3285.54160300869
Lys	8359.20822594871	6385.52346810678	7322.73149086692	7811.33597606805	8632.71425633453	9192.66855482137	11619.3838032817	5272.3515890829	6608.68289160405	5253.97645593838
His	4175.93818991673	823.081089445992	2606.61339411461	1890.32368368584	2449.46664996317	1992.21239680377	2561.12752407058	1215.62072633338	1122.19330500341	744.361863429016
Asp	2704.54623957348	1267.98978644383	1659.9234262649	2251.03762332637	2432.89314427188	2312.76386516167	2585.95384932172	1716.74197123315	1509.18290347811	1551.66485640498
Cys	1904.61002786864	1669.37480656144	3133.86127711018	1987.03984932019	1991.08070645854	1953.64136731678	3264.66177052589	850.884441681876	1971.33480126703	1202.62986282706
iMet	358.324937446473	199.725317239245	271.571857913604	257.725290207302	273.95029995608	295.461575390635	414.015482864724	138.935235402601	220.918254633544	192.886813305954
SeC	335.082238801297	422.663262147942	365.430903543393	372.889937603084	369.004229656144	324.670704516705	436.286156987077	246.829084877413	445.152834105697	292.890211479678
Gln	332.822531988571	72.0558650572578	224.404114170715	238.446626766598	243.728024871958	299.955287563877	350.854390681658	84.8631437864532	70.1530254321298	63.7562117806592
Leu	266.710816467241	121.159707177001	219.265378769424	270.038950524983	249.22873247478	272.034487322561	393.502869148102	148.108909584884	157.135669492014	128.796512068666
Arg	207.570211511786	89.9489322191272	158.178696188275	141.54597631464	186.695667051919	156.156498020145	144.576835286094	180.991306659604	141.8621725193	109.712465957581
Pro	188.94292155591	101.966303002166	232.062216355946	201.809155704286	207.030130085525	194.9995153492	375.322178764272	95.475318784559	137.508657017603	86.52903567109
Ala	184.985860349278	98.9158129217321	258.795997357105	140.925113947668	155.285771773875	161.734357535882	199.553078147236	138.423189080478	131.216305965707	113.194729920399
Met	150.109095416766	63.3511296812132	164.372440316129	116.179313892661	177.921458156529	186.863531203963	115.369393814156	124.666211226117	106.632598656837	62.1380338166831
Thr	123.638244181981	64.3183225007738	124.256036041873	75.0853207690563	126.251116883674	110.470424258856	108.432626464571	93.0740910318682	99.7448470689556	76.377999899673
Asn	101.686806572648	73.9902506963788	78.6129062381485	118.20864688642	100.90340229699	79.7633910750382	104.416603262179	90.370486451061	86.7346496251789	96.7670422457721
Ser	83.9319673298045	48.4133739124454	131.360794748906	121.224461196588	132.648977536563	132.19003309619	187.657811457203	56.9414474878935	73.1764892280626	42.2883841252427
Ile	70.7772455271525	32.5218585577221	69.5605109743617	60.4994898764187	59.026496205354	67.7801586130606	40.2846955529148	86.4277297707168	61.7346623802743	58.069472078686
Trp	64.5630517921573	39.6549056019808	76.7071388141934	43.1233261173634	49.7205170738793	50.5542619489679	48.5573714470973	60.3304355532013	95.6632164983589	54.6944151823929
Tyr	26.3901474200443	15.9586815227484	18.8194533115568	42.1086596204843	23.8853464374518	24.340940938392	21.1753950671552	28.2877145954844	21.1734585849701	22.6544914956657
Phe	9.36164250986281	8.70473537604457	10.9581626877419	16.2346639500662	11.1505571378921	11.9832324619776	8.39713942318224	6.75901145201841	8.00382244702937	6.79634744869971
Sup	0	0	0	0	0.243728024871957	0.312063345363999	0.182546509199614	0.125166878741082	0	0
Und	0	0	0	0	0	0	0.182546509199614	0	0	0.323635592795224
