	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu_piR_000935|gb|DQ541777|Mus_musculus:6:47717737:47717766:Minus	30949	10387	11367	10661	14011	10864	11023	25570	35657	26964
mmu_piR_027673|gb|DQ711996|Mus_musculus:11:106317081:106317102:Plus	2165	927	1044	830	1226	1372	651	2613	2560	1643
mmu_piR_032974|gb|DQ719597|Mus_musculus:4:130021751:130021778:Plus	477	260	300	385	339	456	398	530	717	395
mmu_piR_011982|gb|DQ688886|Mus_musculus:4:118904156:118904177:Minus	309	248	210	228	212	259	310	277	531	412
mmu_piR_004086|gb|DQ551625|Mus_musculus:2:129969457:129969485:Plus	293	68	144	90	143	105	57	157	145	134
mmu_piR_030130|gb|DQ715526|Mus_musculus:2:143957422:143957449:Minus	220	63	81	82	187	181	31	526	184	205
mmu_piR_003770|gb|DQ550765|Mus_musculus:15:82977530:82977560:Plus	170	164	77	130	114	129	143	260	197	245
mmu_piR_034793|gb|DQ722288|Mus_musculus:1:162875028:162875055:Plus	138	68	86	248	131	220	127	199	154	171
mmu_piR_003399|gb|DQ549760|Mus_musculus:5:108144856:108144884:Plus	131	36	45	24	41	36	19	145	195	87
mmu_piR_012107|gb|DQ689086|Mus_musculus:19:8791619:8791645:Plus	103	95	80	104	88	70	63	269	176	185
mmu_piR_000802|gb|DQ541470|Mus_musculus:15:102219386:102219412:Plus	92	52	66	63	84	90	51	311	188	119
mmu_piR_036540|gb|DQ724840|Mus_musculus:18:67164077:67164108:Minus	76	44.5	66	129	74	76.5	103.5	55	39.5	55
mmu_piR_000580|gb|DQ540862|Mus_musculus:11:106317126:106317155:Plus	75	45	33	55	55	76	20	139	73	59
mmu_piR_006854|gb|DQ562105|Mus_musculus:11:101420956:101420984:Plus	67	29	50	88	46	74	97	37	33	27
mmu_piR_015668|gb|DQ694433|Mus_musculus:4:116652070:116652094:Minus	65	23	30	16	22	16	9	157	89	72
mmu_piR_026888|gb|DQ710862|Mus_musculus:15:74472877:74472908:Plus	46	20	56	74	62	58	93	23	28	29
mmu_piR_017289|gb|DQ696831|Mus_musculus:6:128725729:128725759:Minus	39	56	54	50	44	62	39	96	94	62
mmu_piR_006418|gb|DQ561101|Mus_musculus:17:27019910:27019939:Minus	36	23.5	22.5	22.5	8	21.5	26.5	21	55	39
mmu_piR_021137|gb|DQ702491|Mus_musculus:12:98801674:98801703:Minus	33	32	45.5	45.5	34.5	33.5	65.5	29	33	26
mmu_piR_003861|gb|DQ551040|Mus_musculus:11:101421069:101421098:Plus	33	16	39	19	23	19	18	30	44	39
